experiment_number_ID,user_ID,activity_ID,Label_start_point,Label_end_point
wk8(1),Chi,RESTING,4424,4658
wk8(1),Chi,ROLL_HAND,4659,4937
wk8(2),Chi,DAB,483,779
wk8(2),Chi,RESTING,780,983
wk8(2),Chi,SIDE_PUMP,984,1276
wk8(2),Chi,RESTING,1277,1475
wk8(2),Chi,WIPE_TABLE,1476,1760
wk8(2),Chi,RESTING,1761,1973
wk8(2),Chi,HAIR,1974,2245
wk8(2),Chi,RESTING,2246,2463
wk8(2),Chi,KICK_ELBOW,2464,2672
wk8(2),Chi,RESTING,2673,2851
wk8(2),Chi,POINT_HIGH,2852,3127
wk8(2),Chi,RESTING,3128,3336
wk8(2),Chi,GUN,3337,3609
wk8(2),Chi,RESTING,3610,3831
wk8(2),Chi,LISTEN,3832,4081
wk8(2),Chi,RESTING,4082,4315
wk8(2),Chi,ROLL_HAND,4316,4607
wk8(2),Chi,RESTING,4608,4795
wk8(2),Chi,DAB,4796,5070
wk8(2),Chi,RESTING,5071,5301
wk8(2),Chi,SIDE_PUMP,5302,5586
wk8(2),Chi,RESTING,5587,5779
wk8(2),Chi,WIPE_TABLE,5780,6044
wk8(2),Chi,RESTING,6045,6232
wk8(2),Chi,HAIR,6233,6552
wk8(2),Chi,RESTING,6553,6759
wk8(2),Chi,KICK_ELBOW,6760,7043
wk8(2),Chi,RESTING,7044,7222
wk8(2),Chi,POINT_HIGH,7223,7531
wk8(2),Chi,RESTING,7532,7702
wk8(2),Chi,GUN,7703,8003
wk8(2),Chi,RESTING,8004,8168
wk8(2),Chi,LISTEN,8169,8520
wk8(2),Chi,RESTING,8521,8707
wk8(2),Chi,ROLL_HAND,8708,8993
wk8(2),Chi,RESTING,8994,9169
wk8(2),Chi,DAB,9170,9461
wk8(2),Chi,RESTING,9462,9666
wk8(2),Chi,SIDE_PUMP,9667,9956
wk8(2),Chi,RESTING,9957,10163
wk8(2),Chi,WIPE_TABLE,10164,10459
wk8(2),Chi,RESTING,10460,10653
wk8(2),Chi,HAIR,10654,10940
wk8(2),Chi,RESTING,10941,11089
wk8(2),Chi,KICK_ELBOW,11090,11405
wk8(2),Chi,RESTING,11406,11633
wk8(2),Chi,POINT_HIGH,11634,11906
wk8(2),Chi,RESTING,11907,12106
wk8(2),Chi,GUN,12107,12388
wk8(2),Chi,RESTING,12389,12603
wk8(2),Chi,LISTEN,12604,12898
wk8(2),Chi,RESTING,12899,13070
wk8(2),Chi,ROLL_HAND,13071,13402
wk8(3),Chi,RESTING,0,560
wk8(3),Chi,DAB,561,899
wk8(3),Chi,RESTING,900,1090
wk8(3),Chi,SIDE_PUMP,1091,1362
wk8(3),Chi,RESTING,1363,1543
wk8(3),Chi,WIPE_TABLE,1544,1851
wk8(3),Chi,RESTING,1852,2046
wk8(3),Chi,HAIR,2047,2351
wk8(3),Chi,RESTING,2352,2541
wk8(3),Chi,KICK_ELBOW,2542,2746
wk8(3),Chi,RESTING,2747,2933
wk8(3),Chi,POINT_HIGH,2934,3235
wk8(3),Chi,RESTING,3236,3414
wk8(3),Chi,GUN,3415,3697
wk8(3),Chi,RESTING,3698,3908
wk8(3),Chi,LISTEN,3909,4214
wk8(3),Chi,RESTING,4215,4391
wk8(3),Chi,ROLL_HAND,4392,4705
wk8(3),Chi,RESTING,4706,4867
wk8(3),Chi,DAB,4868,5161
wk8(3),Chi,RESTING,5162,5382
wk8(3),Chi,SIDE_PUMP,5383,5684
wk8(3),Chi,RESTING,5685,5857
wk8(3),Chi,WIPE_TABLE,5858,6159
wk8(3),Chi,RESTING,6160,6311
wk8(3),Chi,HAIR,6312,6653
wk8(3),Chi,RESTING,6654,6838
wk8(3),Chi,KICK_ELBOW,6839,7134
wk8(3),Chi,RESTING,7135,7296
wk8(3),Chi,POINT_HIGH,7297,7634
wk8(3),Chi,RESTING,7635,7779
wk8(3),Chi,GUN,7780,8061
wk8(3),Chi,RESTING,8062,8202
wk8(3),Chi,LISTEN,8203,8601
wk8(3),Chi,RESTING,8602,8752
wk8(3),Chi,ROLL_HAND,8753,9056
wk8(3),Chi,RESTING,9057,9200
wk8(3),Chi,DAB,9201,9525
wk8(3),Chi,RESTING,9526,9702
wk8(3),Chi,SIDE_PUMP,9703,10036
wk8(3),Chi,RESTING,10037,10205
wk8(3),Chi,WIPE_TABLE,10206,10519
wk8(3),Chi,RESTING,10520,10691
wk8(3),Chi,HAIR,10692,10998
wk8(3),Chi,RESTING,10999,11124
wk8(3),Chi,KICK_ELBOW,11125,11492
wk8(3),Chi,RESTING,11493,11680
wk8(3),Chi,POINT_HIGH,11681,11964
wk8(3),Chi,RESTING,11965,12140
wk8(3),Chi,GUN,12141,12465
wk8(3),Chi,RESTING,12466,12639
wk8(3),Chi,LISTEN,12640,12961
wk8(3),Chi,RESTING,12962,13111
wk8(3),Chi,ROLL_HAND,13112,13448
wk8(4),Chi,RESTING,0,563
wk8(4),Chi,DAB,564,876
wk8(4),Chi,RESTING,877,1072
wk8(4),Chi,SIDE_PUMP,1073,1354
wk8(4),Chi,RESTING,1355,1557
wk8(4),Chi,WIPE_TABLE,1558,1922
wk8(4),Chi,RESTING,1923,2047
wk8(4),Chi,HAIR,2048,2368
wk8(4),Chi,RESTING,2369,2542
wk8(4),Chi,KICK_ELBOW,2543,2732
wk8(4),Chi,RESTING,2733,2936
wk8(4),Chi,POINT_HIGH,2937,3262
wk8(4),Chi,RESTING,3263,3425
wk8(4),Chi,GUN,3426,3743
wk8(4),Chi,RESTING,3744,3914
wk8(4),Chi,LISTEN,3915,4220
wk8(4),Chi,RESTING,4221,4394
wk8(4),Chi,ROLL_HAND,4395,4699
wk8(4),Chi,RESTING,4700,4873
wk8(4),Chi,DAB,4874,5173
wk8(4),Chi,RESTING,5174,5391
wk8(4),Chi,SIDE_PUMP,5392,5659
wk8(4),Chi,RESTING,5660,5859
wk8(4),Chi,WIPE_TABLE,5860,6219
wk8(4),Chi,RESTING,6220,6316
wk8(4),Chi,HAIR,6317,6685
wk8(4),Chi,RESTING,6686,6845
wk8(4),Chi,KICK_ELBOW,6846,7134
wk8(4),Chi,RESTING,7135,7300
wk8(4),Chi,POINT_HIGH,7301,7612
wk8(4),Chi,RESTING,7613,7782
wk8(4),Chi,GUN,7783,8129
wk8(4),Chi,RESTING,8130,8250
wk8(4),Chi,LISTEN,8251,8609
wk8(4),Chi,RESTING,8610,8801
wk8(4),Chi,ROLL_HAND,8802,9102
wk8(4),Chi,RESTING,9103,9246
wk8(4),Chi,DAB,9247,9562
wk8(4),Chi,RESTING,9563,9745
wk8(4),Chi,SIDE_PUMP,9746,10070
wk8(4),Chi,RESTING,10071,10247
wk8(4),Chi,WIPE_TABLE,10248,10565
wk8(4),Chi,RESTING,10566,10731
wk8(4),Chi,HAIR,10732,11029
wk8(4),Chi,RESTING,11013,12185
wk8(4),Chi,RESTING,11030,11168
wk8(4),Chi,KICK_ELBOW,11169,11525
wk8(4),Chi,RESTING,11526,11717
wk8(4),Chi,POINT_HIGH,11718,12047
wk8(4),Chi,GUN,12186,12522
wk8(4),Chi,RESTING,12523,12678
wk8(4),Chi,LISTEN,12679,12999
wk8(4),Chi,RESTING,13000,13152
wk8(4),Chi,ROLL_HAND,13153,13487
wk8(5),Chi,RESTING,0,198
wk8(5),Chi,DAB,199,551
wk8(5),Chi,RESTING,552,713
wk8(5),Chi,SIDE_PUMP,714,1013
wk8(5),Chi,RESTING,1014,1188
wk8(5),Chi,WIPE_TABLE,1189,1506
wk8(5),Chi,RESTING,1507,1690
wk8(5),Chi,HAIR,1691,1970
wk8(5),Chi,RESTING,1971,2180
wk8(5),Chi,KICK_ELBOW,2181,2391
wk8(5),Chi,RESTING,2392,2577
wk8(5),Chi,POINT_HIGH,2578,2846
wk8(5),Chi,RESTING,2847,3058
wk8(5),Chi,GUN,3059,3356
wk8(5),Chi,RESTING,3357,3550
wk8(5),Chi,LISTEN,3551,3836
wk8(5),Chi,RESTING,3837,4031
wk8(5),Chi,ROLL_HAND,4032,4337
wk8(5),Chi,RESTING,4338,4512
wk8(5),Chi,DAB,4513,4800
wk8(5),Chi,RESTING,4801,5022
wk8(5),Chi,SIDE_PUMP,5023,5438
wk8(5),Chi,RESTING,5439,5498
wk8(5),Chi,WIPE_TABLE,5499,5779
wk8(5),Chi,RESTING,5780,5949
wk8(5),Chi,HAIR,5950,6285
wk8(5),Chi,RESTING,6286,6479
wk8(5),Chi,KICK_ELBOW,6480,6777
wk8(5),Chi,RESTING,6778,6936
wk8(5),Chi,POINT_HIGH,6937,7274
wk8(5),Chi,RESTING,7275,7426
wk8(5),Chi,GUN,7427,7739
wk8(6),Chi,DAB,1434,1766
wk8(6),Chi,RESTING,1767,1952
wk8(6),Chi,SIDE_PUMP,1953,2262
wk8(6),Chi,RESTING,2263,2431
wk8(6),Chi,WIPE_TABLE,2432,2743
wk8(6),Chi,RESTING,2744,2933
wk8(6),Chi,HAIR,2934,3221
wk8(6),Chi,RESTING,3222,3421
wk8(6),Chi,KICK_ELBOW,3422,3626
wk8(6),Chi,RESTING,3627,3808
wk8(6),Chi,POINT_HIGH,3809,4102
wk8(6),Chi,RESTING,4103,4295
wk8(6),Chi,GUN,4296,4768
wk8(6),Chi,RESTING,4769,4807
wk8(6),Chi,LISTEN,4808,5112
wk8(6),Chi,RESTING,5113,5271
wk8(6),Chi,ROLL_HAND,5272,5561
wk8(6),Chi,RESTING,5562,5748
wk8(6),Chi,DAB,5749,6060
wk8(6),Chi,RESTING,6061,6260
wk8(6),Chi,SIDE_PUMP,6261,6610
wk8(6),Chi,RESTING,6611,6746
wk8(6),Chi,WIPE_TABLE,6747,7086
wk8(6),Chi,RESTING,7087,7198
wk8(6),Chi,HAIR,7199,7597
wk8(6),Chi,RESTING,7598,7721
wk8(6),Chi,KICK_ELBOW,7722,8200
wk8(6),Chi,POINT_HIGH,8201,8612
wk8(6),Chi,RESTING,8613,8683
wk8(6),Chi,GUN,8684,9039
wk8(6),Chi,RESTING,9040,9129
wk8(6),Chi,LISTEN,9130,9452
wk8(6),Chi,RESTING,9453,9663
wk8(6),Chi,ROLL_HAND,9664,9961
wk8(6),Chi,RESTING,9962,10132
wk8(6),Chi,DAB,10133,10445
wk8(6),Chi,RESTING,10446,10621
wk8(6),Chi,SIDE_PUMP,10622,10943
wk8(6),Chi,RESTING,10944,11121
wk8(6),Chi,WIPE_TABLE,11122,11444
wk8(6),Chi,RESTING,11445,11622
wk8(6),Chi,HAIR,11623,11914
wk8(6),Chi,RESTING,11915,12048
wk8(6),Chi,KICK_ELBOW,12049,12403
wk8(6),Chi,RESTING,12404,12591
wk8(6),Chi,POINT_HIGH,12592,12897
wk8(6),Chi,RESTING,12898,13062
wk8(6),Chi,GUN,13063,13466
wk8(6),Chi,RESTING,13467,13572
wk8(6),Chi,LISTEN,13573,13875
wk8(6),Chi,RESTING,13876,14025
wk8(6),Chi,ROLL_HAND,14026,14356
wk8(7),Chi,GUN,398,1009
wk8(7),Chi,RESTING,1010,1210
wk8(7),Chi,SIDE_PUMP,1211,1866
wk8(7),Chi,RESTING,1867,1983
wk8(7),Chi,HAIR,1984,2566
wk8(7),Chi,RESTING,2567,2772
wk8(7),Chi,GUN,2773,3353
wk8(7),Chi,RESTING,3354,3530
wk8(7),Chi,SIDE_PUMP,3531,4107
wk8(7),Chi,RESTING,4108,4312
wk8(7),Chi,HAIR,4313,4908
wk8(7),Chi,RESTING,4909,5143
wk8(7),Chi,GUN,5144,5702
wk8(7),Chi,RESTING,5703,5893
wk8(7),Chi,SIDE_PUMP,5894,6473
wk8(7),Chi,RESTING,6474,6700
wk8(7),Chi,HAIR,6701,7237
wk8(8),Chi,GUN,353,958
wk8(8),Chi,RESTING,959,1160
wk8(8),Chi,SIDE_PUMP,1161,1801
wk8(8),Chi,RESTING,1802,1940
wk8(8),Chi,HAIR,1941,2519
wk8(8),Chi,RESTING,2520,2728
wk8(8),Chi,GUN,2729,3299
wk8(8),Chi,RESTING,3300,3485
wk8(8),Chi,SIDE_PUMP,3486,4113
wk8(8),Chi,RESTING,4114,4272
wk8(8),Chi,HAIR,4273,4844
wk8(8),Chi,RESTING,4845,5107
wk8(8),Chi,GUN,5108,5660
wk8(8),Chi,RESTING,5661,5858
wk8(8),Chi,SIDE_PUMP,5859,6503
wk8(8),Chi,RESTING,6504,6655
wk8(8),Chi,HAIR,6656,7216
wk6,Jeff,DAB,214,1566
wk6,Jeff,RESTING,1567,1786
wk6,Jeff,SIDE_PUMP,1787,3041
wk6,Jeff,RESTING,3042,3470
wk6,Jeff,WIPE_TABLE,3471,5476
wk6,Jeff,RESTING,5477,5685
wk6,Jeff,HAIR,5686,7786
wk6,Jeff,RESTING,7787,8295
wk6,Jeff,KICK_ELBOW,8296,9648
wk6,Jeff,RESTING,9649,10176
wk6,Jeff,POINT_HIGH,10177,11704
wk6,Jeff,RESTING,11705,12195
wk6,Jeff,GUN,12196,13344
wk6,Jeff,RESTING,13345,14494
wk6,Jeff,LISTEN,14495,16189
wk6,Jeff,RESTING,16190,17056
wk6,Jeff,ROLL_HAND,17057,18649
wk6,Nic,DAB,50,646
wk6,Nic,RESTING,647,822
wk6,Nic,SIDE_PUMP,823,1408
wk6,Nic,RESTING,1409,1650
wk6,Nic,WIPE_TABLE,1651,2220
wk6,Nic,RESTING,2221,2416
wk6,Nic,HAIR,2417,2996
wk6,Nic,RESTING,2997,3185
wk6,Nic,KICK_ELBOW,3186,3570
wk6,Nic,RESTING,3571,4225
wk6,Nic,POINT_HIGH,4226,4803
wk6,Nic,RESTING,4804,5004
wk6,Nic,GUN,5005,5571
wk6,Nic,RESTING,5572,5738
wk6,Nic,LISTEN,5739,6328
wk6,Nic,RESTING,6329,6518
wk6,Nic,ROLL_HAND,6519,7091
wk8,Nic,DAB,164,454
wk8,Nic,RESTING,455,540
wk8,Nic,SIDE_PUMP,541,842
wk8,Nic,RESTING,843,935
wk8,Nic,WIPE_TABLE,936,1225
wk8,Nic,RESTING,1226,1327
wk8,Nic,HAIR,1328,1612
wk8,Nic,RESTING,1613,1737
wk8,Nic,KICK_ELBOW,1738,1979
wk8,Nic,RESTING,1980,2109
wk8,Nic,POINT_HIGH,2110,2409
wk8,Nic,RESTING,2410,2762
wk8,Nic,GUN,2763,2985
wk8,Nic,RESTING,2986,3087
wk8,Nic,LISTEN,3088,3390
wk8,Nic,RESTING,3391,3486
wk8,Nic,ROLL_HAND,3487,3786
wk8,Nic,RESTING,3787,3918
wk8,Nic,DAB,3919,4194
wk8,Nic,RESTING,4195,4569
wk8,Nic,SIDE_PUMP,4570,4954
wk8,Nic,RESTING,4955,5047
wk8,Nic,WIPE_TABLE,5048,5331
wk8,Nic,RESTING,5332,5433
wk8,Nic,HAIR,5434,5737
wk8,Nic,RESTING,5738,6256
wk8,Nic,KICK_ELBOW,6257,6508
wk8,Nic,RESTING,6509,6609
wk8,Nic,POINT_HIGH,6610,6914
wk8,Nic,RESTING,6915,6999
wk8,Nic,GUN,7000,7286
wk8,Nic,RESTING,7287,7391
wk8,Nic,LISTEN,7392,7700
wk8,Nic,RESTING,7701,7814
wk8,Nic,ROLL_HAND,7815,8173
wk8,Nic,RESTING,8174,8472
wk8,Nic,DAB,8473,8793
wk8,Nic,RESTING,8794,8879
wk8,Nic,SIDE_PUMP,8880,9137
wk8,Nic,RESTING,9138,9447
wk8,Nic,WIPE_TABLE,9448,9536
wk8,Nic,RESTING,9537,9647
wk8,Nic,HAIR,9648,9915
wk8,Nic,RESTING,9916,10134
wk8,Nic,KICK_ELBOW,10135,10434
wk8,Nic,RESTING,10435,10524
wk8,Nic,POINT_HIGH,10525,10822
wk8,Nic,RESTING,10823,10915
wk8,Nic,GUN,10916,11196
wk8,Nic,RESTING,11197,11316
wk8,Nic,LISTEN,11317,11627
wk8,Nic,RESTING,11628,11705
wk8,Nic,ROLL_HAND,11706,11998
wk6,Siying,DAB,73,593
wk6,Siying,RESTING,594,923
wk6,Siying,SIDE_PUMP,924,1391
wk6,Siying,RESTING,1392,1584
wk6,Siying,WIPE_TABLE,1585,2155
wk6,Siying,RESTING,2156,2344
wk6,Siying,HAIR,2345,2920
wk6,Siying,RESTING,2921,3108
wk6,Siying,KICK_ELBOW,3109,3672
wk6,Siying,RESTING,3673,3873
wk6,Siying,POINT_HIGH,3874,4453
wk6,Siying,RESTING,4454,4608
wk6,Siying,GUN,4609,5202
wk6,Siying,RESTING,5203,5373
wk6,Siying,LISTEN,5374,5982
wk6,Siying,RESTING,5983,6156
wk6,Siying,ROLL_HAND,6157,6719
wk8,Siying,DAB,232,770
wk8,Siying,RESTING,771,1047
wk8,Siying,SIDE_PUMP,1048,1338
wk8,Siying,RESTING,1339,1466
wk8,Siying,WIPE_TABLE,1467,1718
wk8,Siying,RESTING,1719,1823
wk8,Siying,HAIR,1824,2140
wk8,Siying,RESTING,2141,2215
wk8,Siying,KICK_ELBOW,2216,2471
wk8,Siying,RESTING,2472,2725
wk8,Siying,POINT_HIGH,2726,3008
wk8,Siying,RESTING,3009,3119
wk8,Siying,GUN,3120,3388
wk8,Siying,RESTING,3389,3534
wk8,Siying,LISTEN,3535,3794
wk8,Siying,RESTING,3795,3893
wk8,Siying,ROLL_HAND,3894,4192
wk8,Siying,RESTING,4193,4293
wk8,Siying,DAB,4294,4597
wk8,Siying,RESTING,4598,4672
wk8,Siying,SIDE_PUMP,4673,4953
wk8,Siying,RESTING,4954,5098
wk8,Siying,WIPE_TABLE,5099,5314
wk8,Siying,RESTING,5315,6098
wk8,Siying,HAIR,6099,6412
wk8,Siying,RESTING,6413,6907
wk8,Siying,KICK_ELBOW,6908,7185
wk8,Siying,RESTING,7186,7292
wk8,Siying,POINT_HIGH,7293,7574
wk8,Siying,RESTING,7575,7677
wk8,Siying,GUN,7678,7962
wk8,Siying,RESTING,7963,8069
wk8,Siying,LISTEN,8070,8363
wk8,Siying,RESTING,8364,8456
wk8,Siying,ROLL_HAND,8457,8722
wk8,Siying,RESTING,8723,8844
wk8,Siying,DAB,8845,9123
wk8,Siying,RESTING,9124,9255
wk8,Siying,SIDE_PUMP,9256,9540
wk8,Siying,RESTING,9541,9625
wk8,Siying,WIPE_TABLE,9626,9933
wk8,Siying,RESTING,9934,10050
wk8,Siying,HAIR,10051,10322
wk8,Siying,RESTING,10323,10407
wk8,Siying,KICK_ELBOW,10408,10675
wk8,Siying,RESTING,10676,10799
wk8,Siying,KICK_ELBOW,10800,11083
wk8,Siying,RESTING,11084,11183
wk8,Siying,POINT_HIGH,11184,11450
wk8,Siying,RESTING,11451,11610
wk8,Siying,GUN,11611,11880
wk8,Siying,RESTING,11881,11968
wk8,Siying,LISTEN,11969,12273
wk8,Siying,RESTING,12274,12523
wk8,Siying,ROLL_HAND,12524,12707
wk6,WX,DAB,97,676
wk6,WX,RESTING,677,833
wk6,WX,SIDE_PUMP,834,1394
wk6,WX,RESTING,1395,1606
wk6,WX,WIPE_TABLE,1607,1973
wk6,WX,RESTING,1974,2165
wk6,WX,HAIR,2166,2769
wk6,WX,RESTING,2770,2940
wk6,WX,KICK_ELBOW,2941,3504
wk6,WX,RESTING,3505,3702
wk6,WX,POINT_HIGH,3703,4280
wk6,WX,RESTING,4281,4566
wk6,WX,GUN,4567,5402
wk6,WX,RESTING,5403,5605
wk6,WX,LISTEN,5606,6185
wk6,WX,RESTING,6186,6362
wk6,WX,ROLL_HAND,6363,6955
wk6,XH,DAB,77,616
wk6,XH,RESTING,617,842
wk6,XH,SIDE_PUMP,843,1374
wk6,XH,RESTING,1375,1579
wk6,XH,WIPE_TABLE,1580,2144
wk6,XH,RESTING,2145,2338
wk6,XH,HAIR,2339,2897
wk6,XH,RESTING,2898,3118
wk6,XH,KICK_ELBOW,3119,3675
wk6,XH,RESTING,3676,3838
wk6,XH,POINT_HIGH,3839,4406
wk6,XH,RESTING,4407,4609
wk6,XH,GUN,4610,5015
wk6,XH,RESTING,5016,5163
wk6,XH,LISTEN,5164,5734
wk6,XH,RESTING,5735,5928
wk6,XH,ROLL_HAND,5929,6489
wk8(1),XH,DAB,353,752
wk8(1),XH,RESTING,751,1019
wk8(1),XH,SIDE_PUMP,1018,1353
wk8(1),XH,RESTING,1352,1593
wk8(1),XH,WIPE_TABLE,1592,1950
wk8(1),XH,RESTING,1949,2213
wk8(1),XH,HAIR,2212,2579
wk8(1),XH,RESTING,2578,2841
wk8(1),XH,KICK_ELBOW,2840,3068
wk8(1),XH,RESTING,3067,3312
wk8(1),XH,POINT_HIGH,3311,3668
wk8(1),XH,RESTING,3667,3938
wk8(1),XH,GUN,3937,4271
wk8(1),XH,RESTING,4270,4543
wk8(1),XH,LISTEN,4542,4883
wk8(1),XH,RESTING,4882,5129
wk8(1),XH,ROLL_HAND,5128,5506
wk8(1),XH,RESTING,5505,5731
wk8(1),XH,DAB,5730,6110
wk8(1),XH,RESTING,6109,6390
wk8(1),XH,SIDE_PUMP,6389,6738
wk8(1),XH,RESTING,6737,6962
wk8(1),XH,WIPE_TABLE,6961,7307
wk8(1),XH,RESTING,7306,7532
wk8(1),XH,HAIR,7531,7932
wk8(1),XH,RESTING,7931,8206
wk8(1),XH,KICK_ELBOW,8205,8541
wk8(1),XH,RESTING,8540,8753
wk8(1),XH,POINT_HIGH,8752,9187
wk8(1),XH,RESTING,9186,9379
wk8(1),XH,GUN,9378,9745
wk8(1),XH,RESTING,9744,9958
wk8(1),XH,LISTEN,9957,10366
wk8(1),XH,RESTING,10365,10609
wk8(1),XH,ROLL_HAND,10608,10999
wk8(1),XH,RESTING,10998,11185
wk8(1),XH,DAB,11184,11561
wk8(1),XH,RESTING,11560,11811
wk8(1),XH,SIDE_PUMP,11810,12227
wk8(1),XH,RESTING,12226,12431
wk8(1),XH,WIPE_TABLE,12430,12811
wk8(1),XH,RESTING,12810,13034
wk8(1),XH,HAIR,13033,13406
wk8(1),XH,RESTING,13405,13577
wk8(1),XH,KICK_ELBOW,13576,14027
wk8(1),XH,RESTING,14026,14265
wk8(1),XH,POINT_HIGH,14264,14635
wk8(1),XH,RESTING,14634,14868
wk8(1),XH,GUN,14867,15227
wk8(1),XH,RESTING,15226,15479
wk8(1),XH,LISTEN,15480,15883
wk8(1),XH,RESTING,15884,16040
wk8(1),XH,ROLL_HAND,16041,16478
wk8(2),XH,GUN,449,1185
wk8(2),XH,RESTING,1186,1449
wk8(2),XH,SIDE_PUMP,1450,2197
wk8(2),XH,RESTING,2198,2400
wk8(2),XH,HAIR,2401,3138
wk8(2),XH,RESTING,3139,3371
wk8(2),XH,GUN,3372,4098
wk8(2),XH,RESTING,4099,4324
wk8(2),XH,SIDE_PUMP,4325,5045
wk8(2),XH,RESTING,5046,5308
wk8(2),XH,HAIR,5309,6039
wk8(2),XH,RESTING,6040,6341
wk8(2),XH,GUN,6342,7005
wk8(2),XH,RESTING,7006,7301
wk8(2),XH,SIDE_PUMP,7302,8016
wk8(2),XH,RESTING,8017,8288
wk8(2),XH,HAIR,8289,8952
wk8(3),XH,DAB,402,785
wk8(3),XH,RESTING,786,1068
wk8(3),XH,SIDE_PUMP,1069,1403
wk8(3),XH,RESTING,1404,1635
wk8(3),XH,WIPE_TABLE,1636,2010
wk8(3),XH,RESTING,2011,2254
wk8(3),XH,HAIR,2255,2622
wk8(3),XH,RESTING,2623,2888
wk8(3),XH,KICK_ELBOW,2889,3125
wk8(3),XH,RESTING,3126,3357
wk8(3),XH,POINT_HIGH,3358,3711
wk8(3),XH,RESTING,3712,3983
wk8(3),XH,GUN,3984,4322
wk8(3),XH,RESTING,4323,4587
wk8(3),XH,LISTEN,4588,4915
wk8(3),XH,RESTING,4916,5164
wk8(3),XH,ROLL_HAND,5165,5553
wk8(3),XH,RESTING,5554,5774
wk8(3),XH,DAB,5775,6131
wk8(3),XH,RESTING,6132,6424
wk8(3),XH,SIDE_PUMP,6425,6762
wk8(3),XH,RESTING,6763,7004
wk8(3),XH,WIPE_TABLE,7005,7538
wk8(3),XH,RESTING,7539,7577
wk8(3),XH,HAIR,7578,7983
wk8(3),XH,RESTING,7984,8244
wk8(3),XH,KICK_ELBOW,8245,8598
wk8(3),XH,RESTING,8599,8790
wk8(3),XH,POINT_HIGH,8791,9215
wk8(3),XH,RESTING,9216,9416
wk8(3),XH,GUN,9417,9799
wk8(3),XH,RESTING,9800,9998
wk8(3),XH,LISTEN,9999,10424
wk8(3),XH,RESTING,10425,10655
wk8(3),XH,ROLL_HAND,10656,11036
wk8(3),XH,RESTING,11037,11227
wk8(3),XH,DAB,11228,11638
wk8(3),XH,RESTING,11639,11879
wk8(3),XH,SIDE_PUMP,11880,12244
wk8(3),XH,RESTING,12245,12482
wk8(3),XH,WIPE_TABLE,12483,12853
wk8(3),XH,RESTING,12854,13080
wk8(3),XH,HAIR,13081,13474
wk8(3),XH,RESTING,13475,13625
wk8(3),XH,KICK_ELBOW,13626,14076
wk8(3),XH,RESTING,14077,14313
wk8(3),XH,POINT_HIGH,14314,14698
